trial_indices,leftP,rightP,choices,rewarded
0,0.05,0.85,-1,-1
1,0.05,0.85,0,0
2,0.05,0.85,-1,-1
3,0.05,0.85,0,0
4,0.05,0.85,-1,-1
5,0.05,0.85,-1,-1
6,0.05,0.85,1,1
7,0.05,0.85,1,1
8,0.05,0.85,-1,-1
9,0.05,0.85,0,0
10,0.05,0.85,1,1
11,0.05,0.85,1,1
12,0.05,0.85,1,1
13,0.05,0.85,1,0
14,0.05,0.85,1,1
15,0.05,0.85,1,1
16,0.05,0.85,1,1
17,0.05,0.85,1,1
18,0.05,0.85,1,0
19,0.05,0.85,1,1
20,0.05,0.85,1,1
21,0.05,0.85,1,1
22,0.05,0.85,1,1
23,0.05,0.85,1,1
24,0.05,0.85,1,1
25,0.05,0.85,1,1
26,0.05,0.85,1,1
27,0.05,0.85,1,0
28,0.05,0.85,1,1
29,0.05,0.85,1,1
30,0.05,0.85,1,0
31,0.05,0.85,-1,-1
32,0.05,0.85,1,1
33,0.05,0.85,-1,-1
34,0.05,0.85,1,1
35,0.05,0.85,1,1
36,0.05,0.85,1,1
37,0.05,0.85,1,0
38,0.05,0.85,1,1
39,0.05,0.85,1,1
40,0.05,0.85,1,0
41,0.05,0.85,0,0
42,0.05,0.85,1,1
43,0.05,0.85,1,1
44,0.05,0.85,1,1
45,0.05,0.85,1,1
46,0.05,0.85,1,1
47,0.05,0.85,1,1
48,0.05,0.85,1,1
49,0.05,0.85,1,1
50,0.05,0.85,0,0
51,0.05,0.85,0,0
52,0.05,0.85,1,1
53,0.05,0.85,1,1
54,0.05,0.85,1,1
55,0.05,0.85,1,1
56,0.05,0.85,1,0
57,0.05,0.85,0,0
58,0.05,0.85,1,1
59,0.05,0.85,1,1
60,0.05,0.85,1,1
61,0.05,0.85,1,1
62,0.05,0.85,1,1
63,0.05,0.85,1,0
64,0.05,0.85,1,1
65,0.05,0.85,1,1
66,0.05,0.85,1,1
67,0.05,0.85,1,0
68,0.05,0.85,1,1
69,0.05,0.85,1,1
70,0.05,0.85,1,1
71,0.05,0.85,1,1
72,0.05,0.85,1,1
73,0.05,0.85,0,0
74,0.05,0.85,1,1
75,0.05,0.85,1,0
76,0.05,0.85,0,0
77,0.05,0.85,1,1
78,0.05,0.85,1,1
79,0.05,0.85,1,1
80,0.05,0.85,1,1
81,0.05,0.85,1,1
82,0.9,0.05,1,0
83,0.9,0.05,0,1
84,0.9,0.05,-1,-1
85,0.9,0.05,0,1
86,0.9,0.05,1,0
87,0.9,0.05,1,0
88,0.9,0.05,1,0
89,0.9,0.05,0,1
90,0.9,0.05,1,0
91,0.9,0.05,1,0
92,0.9,0.05,1,0
93,0.9,0.05,1,0
94,0.9,0.05,1,0
95,0.9,0.05,1,0
96,0.9,0.05,0,0
97,0.9,0.05,0,1
98,0.9,0.05,1,0
99,0.9,0.05,1,0
100,0.9,0.05,1,1
101,0.9,0.05,1,0
102,0.9,0.05,1,0
103,0.9,0.05,1,0
104,0.9,0.05,-1,-1
105,0.9,0.05,1,0
106,0.9,0.05,1,0
107,0.9,0.05,1,0
108,0.9,0.05,1,0
109,0.9,0.05,-1,-1
110,0.9,0.05,1,0
111,0.9,0.05,1,0
112,0.9,0.05,0,1
113,0.9,0.05,0,1
114,0.9,0.05,1,0
115,0.9,0.05,1,0
116,0.9,0.05,1,1
117,0.9,0.05,1,0
118,0.9,0.05,1,0
119,0.9,0.05,1,0
120,0.9,0.05,1,0
121,0.9,0.05,1,0
122,0.9,0.05,1,0
123,0.9,0.05,1,0
124,0.9,0.05,1,0
125,0.9,0.05,1,0
126,0.9,0.05,0,1
127,0.9,0.05,1,0
128,0.9,0.05,0,1
129,0.9,0.05,1,0
130,0.9,0.05,1,0
131,0.9,0.05,1,0
132,0.9,0.05,1,0
133,0.9,0.05,1,0
134,0.9,0.05,1,0
135,0.9,0.05,1,0
136,0.9,0.05,1,0
137,0.9,0.05,-1,-1
138,0.9,0.05,-1,-1
139,0.9,0.05,-1,-1
140,0.9,0.05,1,0
141,0.9,0.05,1,0
142,0.9,0.05,-1,-1
143,0.9,0.05,0,1
144,0.9,0.05,-1,-1
145,0.9,0.05,-1,-1
146,0.9,0.05,1,1
147,0.9,0.05,1,0
148,0.9,0.05,1,0
149,0.9,0.05,1,0
150,0.9,0.05,-1,-1
151,0.9,0.05,1,0
152,0.9,0.05,-1,-1
153,0.9,0.05,1,0
154,0.9,0.05,-1,-1
155,0.9,0.05,1,0
156,0.9,0.05,1,0
157,0.9,0.05,-1,-1
158,0.9,0.05,-1,-1
159,0.9,0.05,-1,-1
160,0.9,0.05,1,0
161,0.9,0.05,0,1
162,0.9,0.05,1,0
163,0.9,0.05,1,0
164,0.9,0.05,1,0
165,0.9,0.05,-1,-1
166,0.9,0.05,1,0
167,0.9,0.05,0,1
168,0.9,0.05,1,0
169,0.9,0.05,0,1
170,0.9,0.05,0,0
171,0.9,0.05,0,1
172,0.9,0.05,0,1
173,0.9,0.05,1,0
174,0.9,0.05,1,0
175,0.9,0.05,1,0
176,0.9,0.05,1,0
177,0.9,0.05,1,0
178,0.9,0.05,1,1
179,0.9,0.05,0,1
180,0.9,0.05,1,0
181,0.9,0.05,1,0
182,0.9,0.05,1,0
183,0.9,0.05,-1,-1
