trial_indices,leftP,rightP,choices,rewarded
0,0.05,0.85,1,0
1,0.05,0.85,1,1
2,0.05,0.85,-1,-1
3,0.05,0.85,1,1
4,0.05,0.85,1,1
5,0.05,0.85,1,0
6,0.05,0.85,1,1
7,0.05,0.85,0,1
8,0.05,0.85,1,1
9,0.05,0.85,1,0
10,0.05,0.85,1,1
11,0.05,0.85,0,0
12,0.05,0.85,1,1
13,0.05,0.85,0,0
14,0.05,0.85,1,1
15,0.05,0.85,0,0
16,0.05,0.85,1,1
17,0.05,0.85,1,1
18,0.05,0.85,0,0
19,0.05,0.85,1,1
20,0.05,0.85,1,1
21,0.05,0.85,1,1
22,0.05,0.85,1,1
23,0.05,0.85,1,1
24,0.05,0.85,1,1
25,0.05,0.85,1,1
26,0.05,0.85,1,1
27,0.05,0.85,1,1
28,0.05,0.85,1,1
29,0.05,0.85,1,1
30,0.05,0.85,0,0
31,0.05,0.85,1,0
32,0.05,0.85,1,1
33,0.05,0.85,1,1
34,0.05,0.85,1,1
35,0.05,0.85,1,1
36,0.05,0.85,1,1
37,0.05,0.85,1,1
38,0.05,0.85,1,0
39,0.05,0.85,1,0
40,0.05,0.85,1,1
41,0.05,0.85,1,1
42,0.05,0.85,1,1
43,0.05,0.85,1,1
44,0.05,0.85,1,1
45,0.05,0.85,1,1
46,0.05,0.85,1,1
47,0.05,0.85,1,1
48,0.05,0.85,1,1
49,0.05,0.85,1,1
50,0.05,0.85,1,1
51,0.05,0.85,1,1
52,0.05,0.85,1,0
53,0.05,0.85,1,1
54,0.05,0.85,1,1
55,0.05,0.85,1,0
56,0.05,0.85,1,1
57,0.05,0.85,1,0
58,0.05,0.85,1,1
59,0.05,0.85,1,1
60,0.05,0.85,1,1
61,0.05,0.85,1,1
62,0.05,0.85,1,1
63,0.05,0.85,1,1
64,0.05,0.85,1,1
65,0.05,0.85,1,1
66,0.05,0.85,1,1
67,0.05,0.85,1,1
68,0.05,0.85,0,0
69,0.05,0.85,1,1
70,0.05,0.85,1,0
71,0.05,0.85,1,1
72,0.05,0.85,0,0
73,0.05,0.85,1,1
74,0.05,0.85,0,0
75,0.05,0.85,1,0
76,0.05,0.85,1,1
77,0.05,0.85,1,0
78,0.05,0.85,1,1
79,0.05,0.85,1,1
80,0.05,0.85,1,1
81,0.05,0.85,0,0
82,0.05,0.85,1,1
83,0.05,0.85,1,1
84,0.05,0.85,1,1
85,0.05,0.85,1,1
86,0.05,0.85,0,0
87,0.05,0.85,1,1
88,0.05,0.85,0,0
89,0.05,0.85,1,1
90,0.05,0.85,1,1
91,0.05,0.85,0,0
92,0.05,0.85,1,1
93,0.05,0.85,-1,-1
94,0.05,0.85,1,1
95,0.05,0.85,1,1
96,0.05,0.85,1,1
97,0.05,0.85,0,0
98,0.05,0.85,0,0
99,0.05,0.85,1,0
100,0.05,0.85,1,1
101,0.05,0.85,-1,-1
102,0.05,0.85,0,0
103,0.05,0.85,0,0
104,0.05,0.85,0,0
105,0.05,0.85,1,1
106,0.05,0.85,1,1
107,0.05,0.85,1,1
108,0.05,0.85,1,1
109,0.05,0.85,1,1
110,0.05,0.85,1,1
111,0.05,0.85,1,1
112,0.05,0.85,1,0
113,0.05,0.85,1,1
114,0.05,0.85,1,0
115,0.05,0.85,1,1
116,0.05,0.85,1,1
117,0.05,0.85,1,1
118,0.05,0.85,1,1
119,0.05,0.85,1,1
120,0.05,0.85,1,1
121,0.05,0.85,1,1
122,0.05,0.85,0,0
123,0.05,0.85,0,0
124,0.05,0.85,0,0
125,0.05,0.85,1,1
126,0.05,0.85,0,0
127,0.05,0.85,1,1
128,0.05,0.85,0,0
129,0.05,0.85,0,0
130,0.05,0.85,1,1
131,0.05,0.85,1,1
132,0.05,0.85,0,0
133,0.05,0.85,1,0
134,0.05,0.85,1,1
135,0.05,0.85,1,1
136,0.05,0.85,1,1
137,0.05,0.85,1,1
138,0.05,0.85,-1,-1
139,0.05,0.85,-1,-1
140,0.05,0.85,1,1
141,0.05,0.85,1,1
142,0.05,0.85,-1,-1
143,0.05,0.85,1,1
144,0.05,0.85,-1,-1
145,0.05,0.85,-1,-1
146,0.05,0.85,1,1
147,0.05,0.85,1,1
148,0.05,0.85,-1,-1
149,0.05,0.85,1,0
150,0.05,0.85,-1,-1
151,0.05,0.85,0,0
152,0.05,0.85,1,1
153,0.05,0.85,-1,-1
154,0.05,0.85,-1,-1
155,0.05,0.85,0,0
156,0.05,0.85,-1,-1
157,0.05,0.85,-1,-1
158,0.05,0.85,-1,-1
159,0.05,0.85,1,1
160,0.05,0.85,1,1
161,0.05,0.85,-1,-1
162,0.05,0.85,-1,-1
163,0.05,0.85,-1,-1
164,0.05,0.85,-1,-1
165,0.05,0.85,0,0
166,0.05,0.85,1,0
167,0.05,0.85,1,0
168,0.05,0.85,1,1
169,0.05,0.85,1,1
170,0.05,0.85,1,1
171,0.05,0.85,-1,-1
172,0.05,0.85,0,0
173,0.05,0.85,1,0
174,0.05,0.85,1,1
175,0.05,0.85,1,1
176,0.05,0.85,1,1
177,0.05,0.85,1,0
178,0.05,0.85,1,1
179,0.05,0.85,1,1
