trial_indices,leftP,rightP,choices,rewarded
0,0.85,0.15,0,1
1,0.85,0.15,-1,-1
2,0.85,0.15,0,1
3,0.85,0.15,1,0
4,0.85,0.15,0,0
5,0.85,0.15,0,0
6,0.85,0.15,1,1
7,0.85,0.15,0,1
8,0.85,0.15,0,1
9,0.85,0.15,0,1
10,0.85,0.15,0,1
11,0.85,0.15,0,1
12,0.85,0.15,1,0
13,0.85,0.15,0,1
14,0.85,0.15,0,1
15,0.85,0.15,0,1
16,0.85,0.15,0,1
17,0.85,0.15,0,1
18,0.85,0.15,0,1
19,0.85,0.15,0,1
20,0.85,0.15,0,1
21,0.85,0.15,1,0
22,0.85,0.15,0,1
23,0.85,0.15,1,0
24,0.85,0.15,1,0
25,0.85,0.15,1,0
26,0.85,0.15,0,1
27,0.85,0.15,1,1
28,0.85,0.15,0,0
29,0.85,0.15,1,0
30,0.85,0.15,0,1
31,0.85,0.15,1,0
32,0.85,0.15,1,0
33,0.85,0.15,0,1
34,0.85,0.15,0,0
35,0.85,0.15,1,1
36,0.85,0.15,0,1
37,0.85,0.15,0,1
38,0.85,0.15,0,1
39,0.85,0.15,0,1
40,0.85,0.15,0,1
41,0.85,0.15,0,1
42,0.85,0.15,0,0
43,0.85,0.15,0,1
44,0.85,0.15,0,1
45,0.85,0.15,0,1
46,0.85,0.15,0,1
47,0.85,0.15,0,1
48,0.85,0.15,0,1
49,0.85,0.15,0,1
50,0.85,0.15,0,1
51,0.85,0.15,0,0
52,0.85,0.15,0,1
53,0.85,0.15,0,1
54,0.85,0.15,0,1
55,0.85,0.15,0,0
56,0.85,0.15,0,1
57,0.85,0.15,0,0
58,0.85,0.15,0,1
59,0.85,0.15,1,0
60,0.85,0.15,0,1
61,0.85,0.15,0,1
62,0.85,0.15,1,0
63,0.85,0.15,1,0
64,0.85,0.15,1,0
65,0.85,0.15,1,0
66,0.85,0.15,1,0
67,0.85,0.15,1,0
68,0.85,0.15,1,0
69,0.85,0.15,1,0
70,0.85,0.15,1,0
71,0.85,0.15,0,1
72,0.85,0.15,1,0
73,0.85,0.15,1,0
74,0.85,0.15,1,0
75,0.85,0.15,0,1
76,0.85,0.15,1,0
77,0.85,0.15,0,1
78,0.85,0.15,0,1
79,0.85,0.15,0,1
80,0.85,0.15,0,0
81,0.85,0.15,0,1
82,0.85,0.15,0,1
83,0.85,0.15,0,1
84,0.85,0.15,0,1
85,0.85,0.15,0,1
86,0.85,0.15,0,1
87,0.85,0.15,0,1
88,0.85,0.15,0,1
89,0.85,0.15,0,1
90,0.85,0.15,0,1
91,0.85,0.15,0,1
92,0.85,0.15,0,0
93,0.85,0.15,0,1
94,0.85,0.15,1,0
95,0.85,0.15,0,1
96,0.85,0.15,1,0
97,0.85,0.15,0,1
98,0.85,0.15,0,1
99,0.85,0.15,0,0
100,0.85,0.15,0,1
101,0.85,0.15,0,1
102,0.85,0.15,0,1
103,0.85,0.15,0,1
104,0.85,0.15,0,1
105,0.85,0.15,0,1
106,0.15,0.9,0,0
107,0.15,0.9,0,0
108,0.15,0.9,0,1
109,0.15,0.9,0,1
110,0.15,0.9,1,1
111,0.15,0.9,1,1
112,0.15,0.9,0,0
113,0.15,0.9,0,0
114,0.15,0.9,0,0
115,0.15,0.9,0,0
116,0.15,0.9,0,0
117,0.15,0.9,0,0
118,0.15,0.9,0,0
119,0.15,0.9,0,0
120,0.15,0.9,0,0
121,0.15,0.9,0,0
122,0.15,0.9,0,1
123,0.15,0.9,1,1
124,0.15,0.9,1,1
125,0.15,0.9,1,1
126,0.15,0.9,0,0
127,0.15,0.9,1,1
128,0.15,0.9,1,1
129,0.15,0.9,1,1
130,0.15,0.9,1,1
131,0.15,0.9,1,1
132,0.15,0.9,1,1
133,0.15,0.9,1,1
134,0.15,0.9,0,0
135,0.15,0.9,0,0
136,0.15,0.9,1,1
137,0.15,0.9,1,1
138,0.15,0.9,1,1
139,0.15,0.9,1,0
140,0.15,0.9,1,0
141,0.15,0.9,0,0
142,0.15,0.9,1,1
143,0.15,0.9,0,0
144,0.15,0.9,1,1
145,0.15,0.9,1,1
146,0.15,0.9,0,0
147,0.15,0.9,0,1
148,0.15,0.9,1,1
149,0.15,0.9,1,1
150,0.15,0.9,1,1
151,0.15,0.9,1,1
152,0.15,0.9,1,1
153,0.15,0.9,0,0
154,0.15,0.9,1,0
155,0.15,0.9,1,1
156,0.15,0.9,1,1
157,0.15,0.9,1,1
158,0.15,0.9,1,1
159,0.15,0.9,1,1
160,0.15,0.9,1,1
161,0.15,0.9,1,1
162,0.15,0.9,1,1
163,0.15,0.9,1,1
164,0.15,0.9,1,0
165,0.15,0.9,1,1
166,0.15,0.9,1,1
167,0.15,0.9,1,1
168,0.15,0.9,1,1
169,0.15,0.9,1,1
170,0.15,0.9,1,1
171,0.15,0.9,1,0
172,0.15,0.9,1,1
173,0.15,0.9,1,1
174,0.15,0.9,1,1
175,0.15,0.9,1,1
176,0.15,0.9,1,1
177,0.15,0.9,1,1
178,0.15,0.9,1,1
179,0.15,0.9,1,1
