,trial_indices,leftP,rightP,choices,rewarded
0,0,0.8,0.8,0,0
1,1,0.8,0.8,1,1
2,2,0.8,0.8,-1,-1
3,3,0.8,0.8,1,1
4,4,0.8,0.8,-1,-1
5,5,0.8,0.8,1,0
6,6,0.8,0.8,1,1
7,7,0.8,0.8,1,1
8,8,0.8,0.8,-1,-1
9,9,0.8,0.8,1,1
10,10,0.8,0.8,-1,-1
11,11,0.8,0.8,-1,-1
12,12,0.8,0.8,1,0
13,13,0.8,0.8,-1,-1
14,14,0.8,0.8,0,1
15,15,0.8,0.8,1,1
16,16,0.8,0.8,-1,-1
17,17,0.8,0.8,-1,-1
18,18,0.8,0.8,-1,-1
19,19,0.8,0.8,1,1
20,20,0.8,0.8,1,1
21,21,0.8,0.8,1,1
22,22,0.8,0.8,1,1
23,23,0.8,0.8,1,1
24,24,0.8,0.8,1,1
25,25,0.8,0.8,1,1
26,26,0.8,0.8,1,0
27,27,0.8,0.8,0,1
28,28,0.8,0.8,0,0
29,29,0.8,0.8,0,1
30,30,0.8,0.8,1,1
31,31,0.8,0.8,0,1
32,32,0.8,0.8,1,1
33,33,0.8,0.8,-1,-1
34,34,0.8,0.8,1,0
35,35,0.8,0.8,1,1
36,36,0.8,0.8,0,1
37,37,0.8,0.8,-1,-1
38,38,0.8,0.8,1,1
39,39,0.8,0.8,0,1
40,40,0.8,0.8,1,1
41,41,0.8,0.8,1,1
42,42,0.8,0.8,0,1
43,43,0.8,0.8,1,1
44,44,0.8,0.8,-1,-1
45,45,0.8,0.8,1,1
46,46,0.8,0.8,0,1
47,47,0.8,0.8,-1,-1
48,48,0.8,0.8,1,1
49,49,0.8,0.8,1,1
50,50,0.8,0.8,0,1
51,51,0.8,0.8,1,1
52,52,0.8,0.8,1,0
53,53,0.8,0.8,-1,-1
54,54,0.8,0.8,0,1
55,55,0.8,0.8,1,0
56,56,0.8,0.8,0,1
57,57,0.8,0.8,1,1
58,58,0.8,0.8,1,0
59,59,0.8,0.8,0,1
60,60,0.8,0.8,1,0
61,61,0.8,0.8,1,1
62,62,0.8,0.8,1,1
63,63,0.8,0.8,0,0
64,64,0.8,0.8,-1,-1
65,65,0.8,0.8,1,1
66,66,0.8,0.8,1,1
67,67,0.8,0.8,0,1
68,68,0.8,0.8,-1,-1
69,69,0.8,0.8,0,1
70,70,0.8,0.8,1,1
71,71,0.8,0.8,-1,-1
72,72,0.8,0.8,1,1
73,73,0.8,0.8,-1,-1
74,74,0.8,0.8,1,1
75,75,0.8,0.8,1,1
76,76,0.8,0.8,1,1
77,77,0.8,0.8,1,0
78,78,0.8,0.8,1,1
79,79,0.8,0.8,0,1
80,80,0.8,0.8,1,0
81,81,0.8,0.8,-1,-1
82,82,0.8,0.8,1,1
83,83,0.8,0.8,1,1
84,84,0.8,0.8,1,1
85,85,0.8,0.8,0,1
86,86,0.8,0.8,-1,-1
87,87,0.8,0.8,1,1
88,88,0.8,0.8,-1,-1
89,89,0.8,0.8,1,1
90,90,0.8,0.8,0,0
91,91,0.8,0.8,1,1
92,92,0.8,0.8,1,1
93,93,0.8,0.8,1,1
94,94,0.8,0.8,1,0
95,95,0.8,0.8,1,1
96,96,0.8,0.8,0,1
97,97,0.8,0.8,0,1
98,98,0.8,0.8,1,1
99,99,0.8,0.8,0,1
100,100,0.8,0.8,-1,-1
101,101,0.8,0.8,0,1
102,102,0.8,0.8,1,0
103,103,0.8,0.8,1,1
104,104,0.8,0.8,1,1
105,105,0.8,0.8,0,1
106,106,0.8,0.8,1,1
107,107,0.8,0.8,1,1
108,108,0.8,0.8,1,1
109,109,0.8,0.8,0,1
110,110,0.8,0.8,-1,-1
111,111,0.8,0.8,0,0
112,112,0.8,0.8,1,0
113,113,0.8,0.8,0,1
114,114,0.8,0.8,-1,-1
115,115,0.8,0.8,-1,-1
116,116,0.8,0.8,1,1
117,117,0.8,0.8,1,1
118,118,0.8,0.8,1,1
119,119,0.8,0.8,1,1
120,120,0.8,0.8,0,0
121,121,0.8,0.8,-1,-1
122,122,0.8,0.8,1,0
123,123,0.8,0.8,1,1
124,124,0.8,0.8,1,1
125,125,0.8,0.8,-1,-1
126,126,0.8,0.8,0,1
127,127,0.8,0.8,1,1
128,128,0.8,0.8,-1,-1
129,129,0.8,0.8,1,1
130,130,0.8,0.8,0,1
131,131,0.8,0.8,1,1
132,132,0.8,0.8,0,1
133,133,0.8,0.8,1,1
134,134,0.8,0.8,1,1
135,135,0.8,0.8,1,1
136,136,0.8,0.8,1,0
137,137,0.8,0.8,0,0
138,138,0.8,0.8,-1,-1
139,139,0.8,0.8,-1,-1
140,140,0.8,0.8,0,1
141,141,0.8,0.8,0,1
142,142,0.8,0.8,1,1
143,143,0.8,0.8,1,1
144,144,0.8,0.8,0,0
145,145,0.8,0.8,-1,-1
146,146,0.8,0.8,0,1
147,147,0.8,0.8,1,0
148,148,0.8,0.8,1,1
149,149,0.8,0.8,1,1
150,150,0.8,0.8,1,1
151,151,0.8,0.8,0,1
152,152,0.8,0.8,1,1
153,153,0.8,0.8,0,1
154,154,0.8,0.8,0,1
155,155,0.8,0.8,1,1
156,156,0.8,0.8,1,1
157,157,0.8,0.8,0,1
158,158,0.8,0.8,1,0
159,159,0.8,0.8,-1,-1
160,160,0.8,0.8,1,0
161,161,0.8,0.8,-1,-1
162,162,0.8,0.8,1,1
163,163,0.8,0.8,-1,-1
164,164,0.8,0.8,1,1
165,165,0.8,0.8,1,1
166,166,0.8,0.8,-1,-1
167,167,0.8,0.8,0,1
168,168,0.8,0.8,0,1
169,169,0.8,0.8,1,1
170,170,0.8,0.8,0,1
171,171,0.8,0.8,1,1
172,172,0.8,0.8,1,1
173,173,0.8,0.8,1,1
174,174,0.8,0.8,1,1
175,175,0.8,0.8,0,1
176,176,0.8,0.8,1,1
177,177,0.8,0.8,1,1
178,178,0.8,0.8,0,0
179,179,0.8,0.8,1,0
180,180,0.8,0.8,0,1
181,181,0.8,0.8,0,1
182,182,0.8,0.8,1,0
183,183,0.8,0.8,-1,-1
184,184,0.8,0.8,-1,-1
185,185,0.8,0.8,-1,-1
186,186,0.8,0.8,0,0
187,187,0.8,0.8,0,1
188,188,0.8,0.8,-1,-1
189,189,0.8,0.8,1,1
190,190,0.8,0.8,0,1
191,191,0.8,0.8,0,1
192,192,0.8,0.8,0,1
193,193,0.8,0.8,1,1
194,194,0.8,0.8,1,1
195,195,0.8,0.8,0,0
196,196,0.8,0.8,1,1
197,197,0.8,0.8,-1,-1
198,198,0.8,0.8,-1,-1
199,199,0.8,0.8,0,1
200,200,0.8,0.8,-1,-1
201,201,0.8,0.8,0,1
202,202,0.8,0.8,-1,-1
203,203,0.8,0.8,1,1
204,204,0.8,0.8,0,1
205,205,0.8,0.8,0,0
206,206,0.8,0.8,-1,-1
207,207,0.8,0.8,1,1
208,208,0.8,0.8,-1,-1
209,209,0.8,0.8,1,0
210,210,0.8,0.8,1,0
211,211,0.8,0.8,0,1
212,212,0.8,0.8,1,1
213,213,0.8,0.8,1,1
214,214,0.8,0.8,0,1
215,215,0.8,0.8,1,1
216,216,0.8,0.8,-1,-1
217,217,0.8,0.8,0,0
218,218,0.8,0.8,-1,-1
219,219,0.8,0.8,0,1
220,220,0.8,0.8,-1,-1
221,221,0.8,0.8,0,1
222,222,0.8,0.8,1,1
223,223,0.8,0.8,0,1
224,224,0.8,0.8,1,0
225,225,0.8,0.8,1,1
226,226,0.8,0.8,-1,-1
227,227,0.8,0.8,0,0
228,228,0.8,0.8,0,1
229,229,0.8,0.8,0,1
230,230,0.8,0.8,0,1
231,231,0.8,0.8,-1,-1
232,232,0.8,0.8,-1,-1
233,233,0.8,0.8,0,1
234,234,0.8,0.8,1,1
235,235,0.8,0.8,0,1
236,236,0.8,0.8,1,1
237,237,0.8,0.8,1,1
238,238,0.8,0.8,1,1
239,239,0.8,0.8,0,1
